Weight,Transport_Mode,Fare,Origin_Location,Origin_pincode,Destination_Location,Destination_pincode,Distance
1,Surface,98,Amaravati,431001,Nagpur,440001,838
3,Air,1345,Amaravati,431001,Imphal,795001,2909
3,Surface,594,Amaravati,431001,Imphal,795001,2909
4,Air,489,Amaravati,431001,Shillong,793001,2562
4,Surface,321,Amaravati,431001,Shillong,793001,2562
5,Air,791,Amaravati,431001,Aizawl,796001,2943
5,Surface,390,Amaravati,431001,Aizawl,796001,2943
6,Air,938,Amaravati,431001,Kohima,797001,2765
6,Surface,382,Amaravati,431001,Kohima,797001,2765
7,Air,900,Amaravati,431001,Bhubaneswar,751001,1303
7,Surface,345,Amaravati,431001,Bhubaneswar,751001,1303
8,Air,1099,Amaravati,431001,Jaipur,302001,1144
8,Surface,383,Amaravati,431001,Jaipur,302001,1144
9,Air,1231,Amaravati,431001,Kota,324001,1002
9,Surface,398,Amaravati,431001,Kota,324001,1002
10,Air,1683,Amaravati,431001,Gangtok,737101,2466
10,Surface,532,Amaravati,431001,Gangtok,737101,2466
11,Air,1495,Amaravati,431001,Chennai,600001,1187
11,Surface,432,Amaravati,431001,Chennai,600001,1187
12,Air,1627,Amaravati,431001,Chennai,600001,1800
12,Surface,467,Amaravati,431001,Chennai,600001,1800
13,Air,1759,Amaravati,431001,Coimbatore,641001,1500
13,Surface,498,Amaravati,431001,Coimbatore,641001,1500
14,Air,1891,Amaravati,431001,Hyderabad,500001,1000
14,Surface,670,Amaravati,431001,Hyderabad,500001,1000
15,Air,2503,Amaravati,431001,Agartala,799001,2800
15,Surface,961,Amaravati,431001,Agartala,799001,2800
5,Air,587,Amaravati,431001,Lucknow,226001,1400
5,Surface,270,Amaravati,431001,Lucknow,226001,1400
6,Air,835,Amaravati,431001,Kanpur,208001,1300
6,Surface,308,Amaravati,431001,Kanpur,208001,1300
7,Air,900,Amaravati,431001,Varanasi,221001,1200
7,Surface,345,Amaravati,431001,Varanasi,221001,1200
8,Air,1099,Amaravati,431001,Dehradun,248001,1800
8,Surface,383,Amaravati,431001,Dehradun,248001,1800
9,Air,1231,Amaravati,431001,Gairsain,246401,1900
9,Surface,414,Amaravati,431001,Gairsain,246401,1900
10,Air,1363,Visakhapatnam,530001,Amaravati,431001,1280
10,Surface,398,Visakhapatnam,530001,Amaravati,431001,1280
1,Air,165,Visakhapatnam,530001,Itanagar,791111,3039
1,Surface,114,Visakhapatnam,530001,Itanagar,791111,3039
2,Air,273,Visakhapatnam,530001,Dispur,781005,2676
2,Surface,202,Visakhapatnam,530001,Dispur,781005,2676
3,Air,353,Visakhapatnam,530001,Patna,800001,1681
3,Surface,232,Visakhapatnam,530001,Patna,800001,1681
4,Air,453,Visakhapatnam,530001,Raipur,492001,1094
4,Surface,272,Visakhapatnam,530001,Raipur,492001,1094
5,Air,587,Visakhapatnam,530001,Panaji,403001,579
5,Surface,289,Visakhapatnam,530001,Panaji,403001,579
6,Air,784,Visakhapatnam,530001,Gandhinagar,382010,525
6,Surface,314,Visakhapatnam,530001,Gandhinagar,382010,525
7,Air,967,Visakhapatnam,530001,Ahmedabad,380001,525
7,Surface,357,Visakhapatnam,530001,Ahmedabad,380001,525
8,Air,1099,Visakhapatnam,530001,Chandigarh,160017,1419
8,Surface,398,Visakhapatnam,530001,Chandigarh,160017,1419
9,Air,1519,Visakhapatnam,530001,Shimla,171001,1674
9,Surface,425,Visakhapatnam,530001,Shimla,171001,1674
10,Air,1363,Visakhapatnam,530001,Ranchi,834001,1747
10,Surface,398,Visakhapatnam,530001,Ranchi,834001,1747
11,Air,1495,Visakhapatnam,530001,Bengaluru,560001,984
